SurveyId,AmazonIdentifier,AssignmentId,DurationInSeconds,StartTime,CompletionTime,ApprovalStatus,AmountPaid,AmountBonused,Estimated CloudResearch Fee,Actual Completion Code,,,,Feedback
208872,A1E77HZO63E334,326O153BMJOAQ9RRCIJNGQ3WFNYEDN,1028,4/6/2020 9:31:37 PM,4/6/2020 9:48:45 PM,Approved,5.00,1.00,0.620000,N3791244,,,,
208872,A2UQ3T8JW2TDD3,3TMSXRD2X7QAFEX6HPTY1U9NXU01W0,1301,4/6/2020 9:28:35 PM,4/6/2020 9:50:16 PM,Approved,5.00,1.00,0.620000,N3791244,,,,
208872,A7P3R1AIA4TVV,345LHZDEDYITXDMG9TSG7Z3NAY33UV,1164,4/6/2020 9:30:57 PM,4/6/2020 9:50:21 PM,Approved,5.00,1.00,0.620000,N3791244,,,,
208872,A2RCYLKY072XXO,3F1567XTNXVNKM4F9T9LOB9K7579QD,1175,4/6/2020 9:31:26 PM,4/6/2020 9:51:01 PM,Approved,5.00,1.00,0.620000,N3791244,,,,
208872,A1FVXS8IM5QYO8,3AMYWKA6YCCXHRP1W9E5FWNI23HO69,1362,4/6/2020 9:28:34 PM,4/6/2020 9:51:16 PM,Approved,5.00,1.00,0.620000,N3791244,,,,
208872,A2196WCNDZULFS,3I3WADAZ9RU1YNPNRQ40NQ9I686O5T,1396,4/6/2020 9:28:34 PM,4/6/2020 9:51:50 PM,Approved,5.00,1.00,0.620000,N3791244,,,,
208872,ARCCEMO6PIE44,35GMH2SV3F71U6IG2RX3RKFVJ15EOK,1324,4/6/2020 9:29:50 PM,4/6/2020 9:51:54 PM,Approved,5.00,1.00,0.620000,N3791244,,,,
208872,A15J42M6EC7Y1K,3FPRZHYEPZXTASBGEJ2L3L56O5C3VK,1418,4/6/2020 9:28:48 PM,4/6/2020 9:52:26 PM,Approved,5.00,1.00,0.620000,N3791244,,,,
208872,ALB9Q6PW38CHZ,37UEWGM5HUY57IGKIVJSEV165FLR1N,1252,4/6/2020 9:31:42 PM,4/6/2020 9:52:34 PM,Approved,5.00,1.00,0.620000,N3791244,,,,
208872,A3HN4CIWMVWYVF,3WMINLGALCTXV441WHMQ01VN98OCAQ,2418,4/6/2020 9:31:44 PM,4/6/2020 10:12:02 PM,Approved,5.00,0.00,0.620000,N3791244,,,,
